title,slug,category_slug,short_tagline,description,price_min,price_max,show_price,timeline,materials,dimensions,occasions,care_notes,status,featured,video_url,model3d_url,seo_title,seo_description,images,image_alts,custom1_label,custom1_type,custom1_options,custom1_required,custom2_label,custom2_type,custom2_options,custom2_required,custom3_label,custom3_type,custom3_options,custom3_required,custom4_label,custom4_type,custom4_options,custom4_required,custom5_label,custom5_type,custom5_options,custom5_required,custom6_label,custom6_type,custom6_options,custom6_required
Lotus Moon Shelf Night Light,lotus-moon-shelf-night-light,resin-furniture-surfaces,,"LIMITED QUANTITIES ONLY! A 3D printable design by Wicked Winks. This shelf art is made of PLA Plastic, an environmental friendly plastic. A very unique addition for your home, office or yoga studios! 3D printed and made in USA. **White lights included ** **ONLY RAINBOW FILAMENT** ***PLA RAINBOW 3D PRINTER FILAMENT INCLUDE MAINLY 5 COLORS: GREEN, RED, YELLOW, PURPLE, PINK... THE COLOR CHANGES EVERY 15-18 METERS AND FIRST COLOR IS RANDOM *** ( Custom order ) Email us at be3dprintshop@gmail.com if you would like a specific color. We can definitely make it for you! [ Size 5""x 6"" approximately ]",40,40,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,Lotus Moon Shelf Night Light,"LIMITED QUANTITIES ONLY! A 3D printable design by Wicked Winks. This shelf art is made of PLA Plastic, an environmental friendly plastic. A very unique addition",https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230428_164429.png?v=1767061278 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230428_171552.png?v=1767061347, | ,,,,,,,,,,,,,,,,,,,,,,,,
3D Printed Lithophane Photo Lamp Personalized,3d-printed-lithophane-photo-lamp-personalized,wedding-photo-frames,,"Our 3D Printed Lithophane Photo Lamp features a unique design, which uses an intricate pattern of light and shadow to create a stunning visual effect. When used with a light source, the lithophane will act as a photographic print of a picture, creating a beautiful image. This high-quality personalized lamp is a perfect way to display a cherished image in your home or office. *Battery operated light included* (AAA batteries not included)",35,40,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,3D Printed Lithophane Photo Lamp Personalized,"Our 3D Printed Lithophane Photo Lamp features a unique design, which uses an intricate pattern of light and shadow to create a stunning visual effect. When used",https://cdn.shopify.com/s/files/1/0681/8997/8931/products/png_20230216_213659_0000.png?v=1767145985 | https://cdn.shopify.com/s/files/1/0681/8997/8931/products/png_20230216_214321_0000.png?v=1767146199 | https://cdn.shopify.com/s/files/1/0681/8997/8931/products/png_20230216_214619_0000.png?v=1767146481 | https://cdn.shopify.com/s/files/1/0681/8997/8931/products/png_20230216_214248_0000.png?v=1767146568 | https://cdn.shopify.com/s/files/1/0681/8997/8931/products/20230216_214435_0000.png?v=1767146648 | https://cdn.shopify.com/s/files/1/0681/8997/8931/products/png_20230216_215502_0000.png?v=1767146721, |  |  |  |  | ,,,,,,,,,,,,,,,,,,,,,,,,
Statue of Liberty 3D Printed Statue,statue-of-liberty-3d-printed-statue,sculptures-objets,,"Bring home a piece of American history with our stunning Statue of Liberty 3D-printed statue. This masterpiece captures Lady Liberty in exquisite detail, showcasing the iconic symbol of freedom and democracy that has welcomed millions to America's shores since 1886. Product Details: Dimensions: Approximately 9” x 3.5” Color: Turquoise with gray base Premium 3D-printed design Made-to-order craftsmanship The intricate detail of this statue honors one of America's most recognizable landmarks. Perfect for patriots, history enthusiasts, or anyone who cherishes the values of liberty and opportunity that the Statue of Liberty represents.",26,26,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,Statue of Liberty 3D Printed Statue,"Bring home a piece of American history with our stunning Statue of Liberty 3D-printed statue. This masterpiece captures Lady Liberty in exquisite detail, showca",https://cdn.shopify.com/s/files/1/0681/8997/8931/files/image_d88b2b34-5f6a-43f3-97a5-444849d37164.jpg?v=1767624182,,,,,,,,,,,,,,,,,,,,,,,,,
3D Printed Articulated/Sensory Dragons,3d-printed-articulated-sensory-dragons,art-craft-pieces,,"Please note that there are numerous styles and colors of 3d-printed dragons that are not included on our website. We have a wide variety available only at the markets we attend. If you do not see the dragon you are looking for, please send us an email or send us a message on our chat visible on this page and we will be happy to customize a 3D printed dragon for you. Our 3d printed dragons design was created by Cinderwing3d. Be 3D Print Shop has a commercial license to sell prints of their designs. Uncover the enchantment These expertly crafted 3D Printed Articulated/Sensory Dragons are a magical addition to any collection. With their articulated movements and sensory features, these dragons bring a touch of magic and excitement to any display. Handcrafted with the utmost attention to detail, these dragons are sure to impress. Enhance your space with our 3D printed dragons. Specifications Materials: This 3D print is made from a type of plastic called PLA (polylactic acid). PLA is an excellent material for 3d printing but is generally more brittle than other plastics. Be aware that your print can break if dropped or mistreated. This item is sensitive to UV rays and heat exposure over 140 degrees F. Warping is possible when placed in the sun for long periods. Not suitable for staying in hot cars on summer days. The color on all 3d printed products can vary slightly depending on availability of branded filament. As these are made with the FDM process (layer by layer) there can/will be minor imperfections. Length: 15"" approximately or more [ Large size ] ***Please choose your color from the list. If there is a color not listed, please request personalization*** by email at be3dprintshop@gmail.com *Transition filaments will start as one color and transition to another. It may start/end anywhere on the print, we cannot control where a certain color starts/stops. Legal Disclaimer: Please note that articulated models are unsuitable for small children, as small pieces may break off from the model and create a potential choking hazard. Be 3D Print Shop, LLC, is not liable for any event(s) following the improper or inappropriate use of its products. *As these dragons are printed to order, please allow up to 7 business days for printing and shipping. Environmentally Friendly Made from high-quality PLA (Polylactic Acid) material, the dragon is also environmentally friendly. PLA is a biodegradable material that can last a lifetime with proper care, and is made from renewable resources such as corn starch and sugarcane. OUR GUARANTEE We stand behind our products and delivery partners. Should your order not arrive, or is defective, just let us know and we'll resend or refund your order. Be 3D Print Shop, LLC AIDA & JOEL VÉLEZ, OWNERS",28,60,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,3D Printed Articulated/Sensory Dragons,Please note that there are numerous styles and colors of 3d-printed dragons that are not included on our website. We have a wide variety available only at the m,https://cdn.shopify.com/s/files/1/0681/8997/8931/files/Photoroom-20240403-221820.jpg?v=1767062449 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/Photoroom-20240403-222049.jpg?v=1767062504 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/Photoroom-20240403-195110.jpg?v=1767062587 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/Photoroom-20240323-170121.jpg?v=1767062786 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/20231111-124717.png?v=1767062855 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/Photoroom-20240404-082828.jpg?v=1767062944, |  |  |  |  | ,,,,,,,,,,,,,,,,,,,,,,,,
Personalized 3D Printed Lithophane Christmas Bells and Ornaments,personalized-lithophane-christmas-bells-ornaments,resin-home-decor,,"Create a lasting holiday memory this year with personalized 3D printed lithophane Christmas Bells and/or Ornaments. Give your loved ones a unique present that reflects your special moments together with a photo that can shine in the light. Easily upload your photo, choose the product, and we'll handle the rest.",25,50,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,Personalized 3D Printed Lithophane Christmas Bells and Ornaments,Create a lasting holiday memory this year with personalized 3D printed lithophane Christmas Bells and/or Ornaments. Give your loved ones a unique present that r,https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20231001-100848.jpg?v=1767061953 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230930-222402.jpg?v=1696170296, | ,,,,,,,,,,,,,,,,,,,,,,,,
Laser Cut Wooden Lamp Personalized,laser-cut-wooden-lamp-personalized,art-craft-pieces,,"This beautiful laser cut wooden lamp is personalized for family and friends, and can even feature your furry friends! Featuring laser cut wood and a lithophane, this decorative and unique lamp will light up any room. Enhance your home decor with our Laser Cut Wooden Lamp Personalized. Simply upload 4 photos and request a customized design or phrase for the top. Made with high-quality wood and precision laser cutting technology, it's the perfect addition to any room. 100% personalized, 100% unique. A great gift for anyone special! Balsa wood laser cut approximately 4x6 (Available only in Walnut color) *Color changing LED puck light, remote control & AAA batteries included*",45,45,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,Laser Cut Wooden Lamp Personalized,"This beautiful laser cut wooden lamp is personalized for family and friends, and can even feature your furry friends! Featuring laser cut wood and a lithophane,",https://cdn.shopify.com/s/files/1/0681/8997/8931/files/20231217-164628.jpg?v=1704728000 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/20241107-120902.jpg?v=1767061522 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/20241107-120851.jpg?v=1767061690 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_6112.png?v=1767145788, |  |  | ,,,,,,,,,,,,,,,,,,,,,,,,
Wooden Night Lights,boho-night-lights,candle-tea-light-holders,,"Our new collection inspired by our daughter Paola Michelle for those who are on their spiritual journey. Great for Yoga studios, Home, Office, Spiritual centers, Stores ,and more. Custom-Made Design to Light your way in the dark! Wood & Lithophane Color Classic Oak (LED Night Light with switch and LED light bulb included) Size 4"" x 4"" approximately.",30,30,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,Wooden Night Lights,"Our new collection inspired by our daughter Paola Michelle for those who are on their spiritual journey. Great for Yoga studios, Home, Office, Spiritual centers",https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230428_174643_1.png?v=1767059300 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230603_105848.png?v=1767059129 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230603_110435.png?v=1767058877 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230603_110620.png?v=1767059660 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230603_105956.png?v=1767060212 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/PhotoRoom-20230617_121528.png?v=1767060311, |  |  |  |  | ,,,,,,,,,,,,,,,,,,,,,,,,
Gold Star Family Commemorative Nameplate - Custom 3D Tribute,gold-star-family-commemorative-nameplate-custom-3d-tribute,resin-home-decor,,"Honor the ultimate sacrifice with our Gold Star Family Commemorative Nameplate. This custom 3D-printed tribute features the gold-on-gold star with oak leaves design, which specifically honors service members who were killed while serving our nation. Each nameplate is personalized and crafted with the utmost respect and precision, creating a meaningful memorial display for Gold Star families. From the creators of the official White House ornaments, this premium commemorative piece serves as a lasting tribute to fallen heroes. Features: Gold-on-gold star with oak leaves Custom personalization available Premium 3D-printed construction Made to order in USA Handcrafted with care and respect",30,30,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,Gold Star Family Commemorative Nameplate - Custom 3D Tribute,Honor the ultimate sacrifice with our Gold Star Family Commemorative Nameplate. This custom 3D-printed tribute features the gold-on-gold star with oak leaves de,https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1895.jpg?v=1767818664 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1896.jpg?v=1767818789, | ,,,,,,,,,,,,,,,,,,,,,,,,
The Pentagon 3D Printed Model,the-pentagon-3d-printed-model,sculptures-objets,,"Own a piece of American military history with our meticulously crafted Pentagon 3D-printed model. This iconic five-sided headquarters of the United States Department of Defense represents strength, security, and American military excellence. Product Details: Dimensions: 8"" x 8"" Premium 3D-printed design Made-to-order craftsmanship Highly detailed architectural features The intricate detail of this model honors one of the world's most recognizable military landmarks. Perfect for military enthusiasts, veterans, history buffs, or anyone who appreciates American defense heritage and architectural significance.",24,24,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,The Pentagon 3D Printed Model,Own a piece of American military history with our meticulously crafted Pentagon 3D-printed model. This iconic five-sided headquarters of the United States Depar,https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1890.jpg?v=1767660342 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1893.jpg?v=1767660442, | ,,,,,,,,,,,,,,,,,,,,,,,,
White House Gold Star Family Ornament,white-house-gold-star-famiy-ornaments,resin-home-decor,,"From the White House to Your Home - The Gold Star Family Christmas Tree Ornament. Created by the same team that 3D-printed the original state ornaments for the White House Gold Star Christmas Tree 2025. This exquisite lithophane ornament is a distinguished component of our exclusive collection, crafted to honor Gold Star Families—those who have experienced the profound loss of a loved one serving our nation. These pieces feature our original artwork, which gracefully encapsulates the essence and sophistication of the White House originals, yet are uniquely designed for Gold Star Families, incorporating a Gold Star and imagery of Arlington, Virginia Cemetery. Size Options: Choose between Small or Large size, and select Christmas Ornament (with hook) or Year-Round Display (with base and tea light) to fit your display needs. Product Features: Premium 3D-Printed Lithophane: When backlit, the intricate details glow beautifully, creating a stunning visual display. Original Artwork: Our own designs inspired by the White House collection Each ornament is custom 3D-printed to your specifications; please contact us for personalization options. Handcrafted Quality: Made with the same precision and care as the White House originals. Meaningful Gift: Perfect for honoring Gold Star families, or as a unique collectible. Display Options: This ornament is designed to seamlessly integrate with any Christmas light string, offering versatility for trees, garlands, window displays, or as a standalone decorative lighting element. When you display this ornament, you're bringing a piece of White House history to your home while honoring the brave families who have given so much for our freedom. *Separate shipping calculated for these exclusive ornaments. Other items in shop have free shipping. For speedy delivery options, contact us for updated pricing based on your location and desired speed. Photo Credit: © 2025 Be 3D Print Shop — Original image. Unauthorized use prohibited.",35,48,TRUE,,,,,"Wipe clean with a soft, dry cloth. Keep away from direct sunlight and heat to preserve colour and shine. Do not soak or use harsh chemicals.",DRAFT,FALSE,,,White House Gold Star Family Ornament,From the White House to Your Home - The Gold Star Family Christmas Tree Ornament. Created by the same team that 3D-printed the original state ornaments for the ,https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1496.png?v=1764809776 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1494.png?v=1764809776 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_1495.png?v=1765570758 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_2001_3c803998-b222-4f63-89b1-dd449a882d68.jpg?v=1768156656 | https://cdn.shopify.com/s/files/1/0681/8997/8931/files/IMG_2002_f93bd127-6b01-4087-be42-d89bbe095ed4.jpg?v=1768156656, |  |  |  | ,,,,,,,,,,,,,,,,,,,,,,,,
