sourceKey,vertical,externalId,title,slug,category,shortTagline,description,priceMin,priceMax,currency,showPrice,timeline,materials,dimensions,status,featured,images,imageAlts,fields,seoTitle,seoDescription,url,firstSeen,lastSeen,contentHash
apex-resin,supplies,15891534872956,Resin and Craft Essentials: Clock Mechanism and Hands - 3cm Depth!,resin-and-craft-essentials-clock-mechanism-and-hands-3cm-depth,Tools,,"Clock Mechanism with Hands , Perfect for Resin Art and Mixed Media show stopping makes! Transform your resin art and mixed media creations into stunning, functional clocks with this Clock Mechanism Complete with Hands. Designed to add a professional and polished finish, it’s the perfect addition to create showstopping timepieces that combine art and practicality. Key Features: 3cm Shaft Length: Ideal for deep artworks, providing a secure fit for layered or thicker pieces. Versatile Design: Can also be used on shallow artworks—simply bridge the gap on top of the mechanism before fitting. Lou uses a wedge of putty. Complete with Hands: Includes everything you need to finish your clock, making it easy to assemble and customize. Whether you’re completing a statement resin clock or a mixed media masterpiece, this high-quality mechanism ensures precision and durability. Create art that doesn’t just decorate, it tells time in style! Perfect for: Resin art projects Mixed media creations Custom handmade clocks",7,7,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/WhatsAppImage2025-01-23at18.43.52_1.jpg?v=1770852350 | https://cdn.shopify.com/s/files/1/2250/3519/files/Copy_of_Black_Gold_Win_Giveaway_Special_Instagram_Post_4_1.png?v=1770852351,|,"{""tags"":[""Art Boards"",""Create & Bloom Crafts"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Tools""}",,,https://apexresin.co.uk/products/resin-and-craft-essentials-clock-mechanism-and-hands-3cm-depth,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,2a23d67a8ce797ec
apex-resin,supplies,15894241509756,"Nightshade – SUPREME Chameleon Pigment Powder for Resin, Crafts & Mixed Media 3g",nightshade-supreme-chameleon-pigment-powder-for-resin-crafts-mixed-media-3g,Mica Powder,,"Nightshade is not simply a colour; it is an atmosphere. A sumptuous, dark purple pigment that feels rich, velvety, and quietly powerful from the first glance. Its tone sits somewhere between midnight violet and shadowed amethyst, with an inky depth that feels both elegant and mysterious. In the light, subtle undertones emerge. Hints of aubergine, crushed plum, and soft blackened grape, giving it a sense of movement and intrigue without ever losing its moody sophistication. This is a pigment made for creators who are drawn to depth rather than brightness, drama rather than noise. Finely milled and luxuriously smooth, Nightshade offers intense, even coverage with a refined finish that feels polished and intentional. It is highly concentrated, meaning a small amount delivers a powerful result, making each pot feel like a deliberate indulgence rather than an everyday colour. Whether burnished into resin, brushed carefully into moulds, or layered into mixed media and surface work, Nightshade brings a sense of quiet confidence to your creations. It elevates pieces into something considered and expressive, perfect for statement designs, moody palettes, gothic-inspired work, or moments when your art calls for something darker, deeper, and more self-assured. Features: 3g of luxury mica pigment in a micro pot Deep, dark purple with rich violet and plum undertones Ultra-fine texture for smooth application and an elegant finish Highly concentrated for bold colour with minimal use Ideal for resin projects, mixed media, painting, embellishment, and detail work Nightshade is a pigment for artists who aren’t afraid of the dark, a refined, luxurious purple that adds depth, drama, and intention, and reminds you that not all beauty needs to shine to be powerful. Mica powder itself is a naturally occurring mineral and is widely recognised as non-toxic. While our Chameleon pigment powders are safe to handle and suitable for creative and craft applications, they are not certified as cosmetic grade . This means they have not been tested or approved to meet the specific regulatory standards required for use in cosmetic products intended for application on the skin, lips, or eyes.",18,18,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Nightshade_purple_violet_pigment_for_crafts.png?v=1771174451,,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/nightshade-supreme-chameleon-pigment-powder-for-resin-crafts-mixed-media-3g,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,6063041cac9ee5ef
apex-resin,supplies,15894241542524,"Mourning Ruby – SUPREME Chameleon Pigment Powder for Resin, Crafts & Mixed Media 3g",mourning-ruby-supreme-chameleon-pigment-powder-for-resin-crafts-mixed-media-3g,Mica Powder,,"Mourning Ruby is not just a pigment, it’s an indulgence. A richly decadent chameleon mica that feels dark, luxurious, and unapologetically opulent from the moment you open the pot. Its colour begins as a deep, velvety ruby before shifting through molten crimson, wine-dark plum, and flashes of glowing garnet as the light moves. Every angle reveals something new, creating depth and drama that feels almost alchemical. This is a supreme, high-shift chameleon designed for makers who appreciate the finer things in their craft. Finely milled and intensely concentrated, Mourning Ruby delivers a smooth, luminous finish with exceptional colour travel. A little goes a long way, making each pot feel like a small but powerful luxury, the kind you save for statement pieces, special commissions, or simply to treat yourself because creating should feel indulgent. Whether burnished into resin, brushed into moulds, or layered into mixed media work, Mourning Ruby transforms ordinary creations into something rich, moody, and unforgettable. It is a pigment to savour, to experiment with slowly, and to fall a little bit in love with every time you use it. Features: 2–3g of luxury chameleon mica pigment in a micro pot Intense ruby-to-crimson colour shift with deep, dramatic undertones Ultra-fine texture for smooth application and a refined finish Highly concentrated for maximum impact with minimal use Ideal for resin projects, mixed media, painting, embellishment, and detail work Mourning Ruby is a true treat for crafters and makers, a decadent, high-end pigment that turns creative moments into something special, and reminds you that your art deserves a little luxury too. Mica powder itself is a naturally occurring mineral and is widely recognised as non-toxic. While our Chameleon pigment powders are safe to handle and suitable for creative and craft applications, they are not certified as cosmetic grade . This means they have not been tested or approved to meet the specific regulatory standards required for use in cosmetic products intended for application on the skin, lips, or eyes.",18,18,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Mourning_ruby_red_pigment_colour_shifting_to_gold.png?v=1771174451,,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/mourning-ruby-supreme-chameleon-pigment-powder-for-resin-crafts-mixed-media-3g,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,010e12e13ba68ea3
apex-resin,supplies,15894241575292,Colour Shifting Chameleon Pigment - Moonshine,colour-shifting-chameleon-pigment-moonshine,Mica Powder,,"Illuminate your creations with Moonshine , an exquisite luxury chameleon pigment designed to bring luminous depth and refined magic to your mixed media work. Fine as dust and beautifully radiant, this premium pigment reveals a soft opal Tiffany blue-green base that gently shifts between an undertone of pink and muted teal as the light moves. The result is an ethereal, moonlit colour play that feels calm, modern, and quietly luxurious. Perfect for artists who love understated drama, Moonshine blends effortlessly into resin, paints, gels, and a wide range of creative mediums . Its silky texture ensures smooth application while delivering a mesmerising, light-reactive finish. Use sparingly for a subtle glow or build in layers for added depth, either way, Moonshine brings movement, elegance, and a tranquil sense of magic to every piece. Features: 10g pot of premium luxury chameleon pigment Fine, dust-like texture for smooth, even blending Opalescent turquoise base with soft teal colour shifts Chameleon effect that changes with light and viewing angle Ideal for resin art, mixed media, nail art, cosmetics, and creative projects High-quality pigment for exceptional luminosity and refined colour transitions A beautifully luminous chameleon pigment for artists seeking opal-inspired shimmer, serene blue-green tones, and truly elevated creative results.",21,21,INR,TRUE,,,,out_of_stock,,https://cdn.shopify.com/s/files/1/2250/3519/files/Widow_sOchreChameleon_18.png?v=1771174501 | https://cdn.shopify.com/s/files/1/2250/3519/files/WhatsAppImage2026-01-23at14.35.46.jpg?v=1771174500 | https://cdn.shopify.com/s/files/1/2250/3519/files/WhatsAppImage2026-01-23at14.41.28_4657ae1c-1f5e-430a-8b68-eea8d69565cd.jpg?v=1771174500 | https://cdn.shopify.com/s/files/1/2250/3519/files/WhatsAppImage2026-01-19at12.24.12_2_1.jpg?v=1771174500,|  |  |,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/colour-shifting-chameleon-pigment-moonshine,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,c181e6b791c7f144
apex-resin,supplies,15894241706364,Simply Shimmering Interference Mica Powder - Secret Blue,simply-shimmering-interference-mica-powder-secret-blue,Mica Powder,,"Embrace the depth and intrigue of Secret Blue , a striking ghost interference powder with a cool blue undertone and a mesmerising colour-shifting effect that reveals luminous flashes as the light and viewing angle change. This refined pigment adds movement, atmosphere, and a modern edge to your creative work. Key Features: Ideal for resin art, mould work, polymer clay, and pouring arts. 10g in a Recyclable pot Finely milled for smooth, consistent application and seamless blending. Adds depth, clarity, and a contemporary feel to your designs. Blend with other pigments to create custom shades or enhance colour-shift effects. Excellent light fastness, maintaining vibrancy and brilliance under UV exposure. Resistant to heat up to 150 degrees Celsius. Suitable for adding subtle shimmer and cool-toned highlights to nails and cosmetic applications. Usage Tips: For resin pours, incorporate 1% for a soft, understated shimmer or increase up to 5% for a bold, high-impact interference effect. Compatible with epoxy, polyester, and polyurethane resins. Top Tip: Secret Blue Interference Powder pairs beautifully with dark bases and neutral tones, and can be blended with other Create and Bloom pigments to create oceanic hues, deepen shadows, or introduce a crisp colour shift to layered designs. Discover the magic of interference powders with Secret Blue , thoughtfully crafted to meet the highest standards of quality, safety, and reliability for your artistic projects.",6,6,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Simply_Shimmering_Interference_Mica_Powder_-_Secret_Blue_1.png?v=1771174526 | https://cdn.shopify.com/s/files/1/2250/3519/files/SimplyShimmeringInterferenceMicaPowder-SecretBlue.png?v=1771174526,|,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/simply-shimmering-interference-mica-powder-secret-blue,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,01837c4f12973f7a
apex-resin,supplies,15894241739132,Simply Shimmering Interference Mica Powder - Secret Green,simply-shimmering-interference-mica-powder-secret-green,Mica Powder,,"Embrace the mystique of Secret Green , a captivating ghost interference powder infused with a vibrant green undertone and an enchanting colour-shifting effect that dances and transforms with changes in light and viewing angle. This mesmerising pigment brings depth, movement, and a touch of magic to every creative piece. Key Features: Transformative Effect: A shifting green interference finish that reveals luminous flashes as the light moves. 10g in a Recyclable pot Ideal for resin art, mould work, polymer clay, and pouring arts. Finely milled for smooth, even application and effortless blending. Adds a fresh, energetic, and slightly mystical edge to your designs. Blend with other pigments to create custom shades or amplify colour-shift effects. Excellent light fastness, maintaining vibrancy and brilliance under UV exposure. Resistant to heat up to 150 degrees Celsius. Suitable for adding shimmering green highlights to nails and cosmetic applications. Usage Tips: For resin pours, use around 1% for a soft, subtle shimmer or increase up to 5% for a bold, eye-catching interference effect. Compatible with epoxy, polyester, and polyurethane resins. Top Tip: Secret Green Interference Powder blends beautifully with other Create and Bloom pigments, allowing you to deepen greens, create jewel-toned effects, or add an unexpected colour shift to darker bases. Discover the transformative beauty of interference pigments with Secret Green , thoughtfully crafted to meet the highest standards of quality, safety, and reliability for your creative projects.",6,6,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Simply_Shimmering_Interference_Mica_Powder_Secret_Green_11.png?v=1771174526 | https://cdn.shopify.com/s/files/1/2250/3519/files/SimplyShimmeringInterferenceMicaPowderSecretGreen.png?v=1771174526,|,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/simply-shimmering-interference-mica-powder-secret-green,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,2ce7e557af072d54
apex-resin,supplies,15894241771900,Simply Shimmering Interference Mica Powder - Secret Violet,simply-shimmering-interference-mica-powder-secret-violet,Mica Powder,,"Embrace the allure of Secret Violet , a captivating ghost interference powder with a rich violet undertone and a mesmerising colour-shifting effect that reveals luminous flashes as the light and viewing angle change. This enchanting pigment adds depth, drama, and elegance to every creative piece. Key Features: Shifting interference effect with a refined violet undertone. 10g in a Recyclable pot Ideal for resin art, mould work, polymer clay, and pouring arts. Finely milled for smooth, consistent application and seamless blending. Adds a sense of mystery, luxury, and creative expression to your designs. Blend with other pigments to create custom shades or enhance colour-shift effects. Excellent light fastness, maintaining vibrancy and brilliance under UV exposure. Resistant to heat up to 150 degrees Celsius. Perfect for adding luminous shimmer and depth to nails and cosmetic creations. Usage Tips: For resin pours, incorporate 1% for a soft, subtle shimmer or increase up to 5% for a more pronounced interference effect. Compatible with epoxy, polyester, and polyurethane resins. Top Tip: Secret Violet Interference Powder blends beautifully with other Create and Bloom pigments, allowing you to deepen purples, create jewel-toned finishes, or introduce a dramatic colour shift to darker bases. Discover the magic of interference powders with Secret Violet , thoughtfully crafted to meet the highest standards of quality, safety, and reliability for your artistic projects.",6,6,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Secret_Powder_2.png?v=1771174526 | https://cdn.shopify.com/s/files/1/2250/3519/files/SimplyShimmeringInterferenceMicaPowder-SecretViolet.png?v=1771174527,|,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/simply-shimmering-interference-mica-powder-secret-violet,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,d257b1b4fe99ed40
apex-resin,supplies,15894241804668,Simply Shimmering Interference Mica Powder - Secret Red,simply-shimmering-interference-mica-powder-secret-red,Mica Powder,,"Embrace the allure of Secret Red , a captivating interference powder infused with a subtle red undertone and a mesmerising colour-shifting shimmer that dances beautifully with changes in light and angle. Elegant yet sophisticated, this pigment brings depth, warmth, and a refined glow to your creative projects. Key Features: Shifting interference effect with a soft red undertone that reveals flashes of warmth and luminosity. 10g in a Recyclable pot Ideal for resin art, mould work, polymer clay, pouring arts, and mixed media creations. Finely milled for smooth, consistent application and effortless blending. Inspirational Adds richness, intrigue, and a sophisticated edge to your designs Blend with other pigments to create bespoke shades and enhance colour depth and shift. Excellent light fastness, maintaining vibrancy and shimmer under UV exposure. Resistant to heat up to 150 degrees Celsius. Suitable for adding shimmer and glow to nails and cosmetic creations. Usage Tips: For resin pours, incorporate around 1% for a soft, whisper-like shimmer or up to 5% for a more intense interference effect. Compatible with epoxy, polyester, and polyurethane resins. Top Tip: Secret Red Interference Powder blends beautifully with other Create and Bloom pigments to deepen tones, warm colour palettes, and create striking metallic or colour-shift effects. Discover the magic of interference powders with Secret Red, crafted to the highest standards of quality, safety, and reliability for artists who love depth, shimmer, and subtle drama in their work.",6,6,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Simply_Shimmering_Interference_Mica_Powder_-_Secret_Red_1.png?v=1771174526 | https://cdn.shopify.com/s/files/1/2250/3519/files/Simply_Shimmering_Interference_Mica_Powder_-_Secret_Red.png?v=1771174527,|,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/simply-shimmering-interference-mica-powder-secret-red,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,3bb1169b8e4d1ec2
apex-resin,supplies,15894242918780,Crumble & Sparkle Synthetic Mica Flake - Blushing At you,crumble-sparkle-synthetic-mica-flake-blushing-at-you,Mica Powder,,"Say hello to Blushing At You , a gorgeous shade of pink mica that’s sweet, confident, and just a little bit flirty. This beautifully texturised flake is soft yet eye-catching, this pink knows how to stand out without shouting, it’s blushing, not screaming. Blushing At You brings a warm, romantic glow to coasters, jewellery, trays, and decorative details, catching the light in all the right ways. Whether you’re leaning into pastel palettes , adding softness to bold designs, or creating pieces that feel full of charm, this glitter is not shy about being admired. Consider this your sign to lean into the pink, after all, if it’s blushing at you, it’s clearly meant to be. Features: 20g of mica flake in a reusable pot Texturised orb shape for added depth and dimensional sparkle Gorgeous pink tone with a soft, romantic finish Perfect for resin art, jewellery making, home décor, and creative projects Ideal for layering, accent details, or full statement pours If your creations are craving a little charm, warmth, and a touch of rosy confidence, Blushing At You is ready to steal the spotlight, no need to be shy about it.",7,7,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/A_beautiful_Pink_Mica_flake_perfect_for_texture_art.png?v=1771174733,,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Resin Sparkle"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/crumble-sparkle-synthetic-mica-flake-blushing-at-you,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,8b189d0784171798
apex-resin,supplies,15894242951548,Simply Shimmering Mixed Media Ocean Blue Mica Powder  - Paradise,simply-shimmering-mixed-media-ocean-blue-mica-powder-paradise,Mica Powder,,"Cool, captivating, and endlessly dreamy, Paradise is a Simply Shimmering Mixed Media ocean blue mica powder inspired by sunlit seas, clear horizons, and that just-one-more-dip feeling. This striking blue shimmers with depth and clarity, capturing the movement and magic of water in full colour. Finely milled for a smooth, even blend, Paradise mixes effortlessly into resin, eco-resin, polymer clay, mixed media, and papercrafts. Whether you’re creating coastal-inspired homewares, statement jewellery, or flowing abstract designs, this shade brings calm confidence and a splash of escapism to every piece. Consider this your creative getaway no passport required. Features: 10g pot of premium mica powder Ocean blue tone with a rich shimmering finish Finely milled for smooth, even colour distribution Suitable for resin, eco-resin, polymer clay, mixed media, papercrafts, and candle making Designed for creative and craft use Usage Information: This mica powder is designed for creative and craft use and has not been certified as cosmetic grade. A fresh, fluid blue that pours like a dream and shimmers like sunlight on water, welcome to Paradise. Perfect for Resin Beach art.",6,6,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/2250/3519/files/Ocean_blue_mica_pigment_powder_fore_resin_art.png?v=1771174734 | https://cdn.shopify.com/s/files/1/2250/3519/files/Ocean_blue_mica_pigment_powder_fore_resin_art.jpg?v=1771174732,|,"{""tags"":[""Create & Bloom Crafts"",""Resin Mica Pigment Powder"",""Shopify Collective""],""vendor"":""Create & Bloom Crafts"",""productType"":""Mica Powder""}",,,https://apexresin.co.uk/products/simply-shimmering-mixed-media-ocean-blue-mica-powder-paradise,2026-07-08T05:45:20.102Z,2026-07-08T13:13:52.536Z,c1d022a6ec64b225
