sourceKey,vertical,externalId,title,slug,category,shortTagline,description,priceMin,priceMax,currency,showPrice,timeline,materials,dimensions,status,featured,images,imageAlts,fields,seoTitle,seoDescription,url,firstSeen,lastSeen,contentHash
art-unleashed,resin,8308250312994,Black Goldflake tray,black-goldflake-tray,,,"Gift something unique with this handcrafted, black with green undertone wooden serving tray. Decorated with beautiful resin,and gold flakes, this quality product is sure to stand out. Not only decorative, it's also food safe and functional for everyday use. Show your special someone you care and get them this one-of-a-kind gift! Serve drinks or snacks in the resin tray and get that WOW factor. Colors used here are Green, Gold shimmer, Black and Gold Flakes. Each product is handmade. Colors may have slight variation due to camera. Adding matching coasters to this tray and make the set that will ooze oomph! Size: 14in * 10in",65,65,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230523_184652_257d6d75-5577-4573-8e2a-c07115ad2ad7.jpg?v=1685813048 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230523_184643_f1ab1678-9c78-4d31-b38b-28a95e6c92ca.jpg?v=1685813048,|,"{""tags"":[""resin tray"",""serving tray"",""Trays"",""Traysets"",""wood"",""Wooden trays""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/black-goldflake-tray,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,9b2801ffe4b67c40
art-unleashed,resin,8284249555234,Black Gold Center resin coasters,black-gold-center-resin-coasters,,,"This set of sophisticated Black Gold Center coasters crafted from resin bring luxury to any home. The functional piece of home decor provides a stylish and practical solution for protecting surfaces from hot or cold beverages. Each piece is curated with unique patterns. Add that Glitz and Glam to your life! Dimension : 5.2 in * 5.2 inc **** Each Product comes in a set of 2. Add additional units if you need more. ***** Made of Non toxic material PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak Not dishwasher safe Avoid cleaning products/chemicals Spot clean with gentle soap and water This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles.",25,25,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230523_184652.jpg?v=1685811835 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230523_184643.jpg?v=1685811836,|,"{""tags"":[""black"",""Coasters""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/black-gold-center-resin-coasters,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,29bba40026ce1692
art-unleashed,resin,8281665700130,Purple Gold Resin Coasters,purple-gold-resin-coasters,,,"Create a luxurious atmosphere with Purple Gold Resin Coasters. These artfully crafted coasters, made with a blend of deep purple and radiant white gold, captivate the senses and elevate any setting. Each coaster is carefully designed and crafted, providing not only beauty but also safe, lightweight convenience. Indulge your guests and transport them to a world of elegance with these magnificent coasters. **** Each Product comes in a set of 2. Add additional units if you need more. ***** *** Mix and match different coasters to Made of Non toxic material Dimensions: 5. 2"" diameter PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak Not dishwasher safe Avoid cleaning products/chemicals Spot clean with gentle soap and water This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles.",25,25,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230518_133428.jpg?v=1684442471 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230518_083043.jpg?v=1684442471 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230518_083002.jpg?v=1684442471,|  |,"{""tags"":[""Coasters""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/purple-gold-resin-coasters,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,6dc25e8ff7be3315
art-unleashed,resin,8278293217570,Pink orange Floral Resin coasters,pink-orange-floral-resin-coasters,,,"Our Beautiful resin Coasters are the perfect addition for any occasion. Handcrafted from premium, durable resin, each coaster features unique artwork, glamorous detailing and can be customized for bridal or other special occasions. Ideal for home decor, these unique, functional pieces make a great gift. These Floral Alcohol ink coasters in pink , red colors will make great companion for your happy hour. They come in multi-pattern sets. Each piece is curated with unique patterns . Super Light weight and easy to clean. Dimensions: 5. 2"" diameter **** Each Product comes in a set of 2. Add additional units if you need more. ***** Made of Non toxic material. This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles. PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak. Not dishwasher safe. Avoid cleaning products/chemicals Spot clean with gentle soap and water.",24,24,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230516_192449.jpg?v=1684290503 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230516_192300.jpg?v=1684290503 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230516_192240.jpg?v=1684290503 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230516_192435.jpg?v=1684290503,|  |  |,"{""tags"":[""Coasters""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/pink-orange-floral-resin-coasters,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,dcd2d8f91c65b206
art-unleashed,resin,8266917151010,Round Blue Ocean theme wooden tray,round-blue-ocean-theme-wooden-tray,,,"These deep wooden trays are both reliable and aesthetically pleasing. The resin and painting add a unique touch, making them stand out from the crowd. Serve drinks or snacks and get a wow reaction from your guests. The tray is made with resin, real sand, blue, white, and gold mica powder pigments. Perfect for entertaining, or for a cozy breakfast in bed! Consider purchasing coordinating coasters to complete the look. This item makes a great housewarming or Christmas gift. All components are non-toxic and safe to use. Size 14 inch PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak Not dishwasher safe Avoid cleaning products/chemicals Spot clean with gentle soap and water This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles",70,70,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230421_165616.jpg?v=1684289734 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230516_191613.jpg?v=1684289880 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230516_191602.jpg?v=1684289880,|  |,"{""tags"":[""beach"",""gift sets"",""ocean decor"",""ocean series"",""Trays"",""Traysets"",""Wooden trays""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/round-blue-ocean-theme-wooden-tray,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,20d3d8c4559486dd
art-unleashed,resin,8265799172386,Copper Gold Decor with Clock,copper-gold-decor-with-clock,,,"This beautifully designed three-piece wall decor utilizes a combination of resin, glass stones, and metallic colors to create a truly unique accent piece. The centerpiece of the decor is a custom-made clock, adding a touch of modern luxury to any home. Measuring 3 feet by 3 feet, this handmade copper and gold accent piece is perfect for adding a unique flair to any wall. This piece is truly functional wall decor that an elevate your space instantly.",300,300,INR,TRUE,,,,out_of_stock,,https://cdn.shopify.com/s/files/1/0687/8871/5810/files/artunleashedWallArt.png?v=1683651686 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/artunleashedCopperClock.png?v=1683651689 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230430_194009.jpg?v=1683673942 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230430_193946.jpg?v=1683673942 | https://cdn.shopify.com/s/files/1/0687/8871/5810/files/20230430_193912.jpg?v=1683673943,|  |  |  |,"{""tags"":[""Clocks"",""wall decor""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/copper-gold-decor-with-clock,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,54dd798e8a3bc958
art-unleashed,resin,8115930988834,Green wooden serving tray,green-wooden-serving-tray,,,"Gift something unique with this handcrafted, green wooden serving tray. Decorated with beautiful resin, this quality product is sure to stand out. Not only decorative, it's also food safe and functional for everyday use. Show your special someone you care and get them this one-of-a-kind gift! Serve drinks or snacks in the resin tray and get that WOW factor. Colors used here are Green, Gold, White and Gold Flakes. Each product is handmade. Colors may have slight variation due to camera. Adding matching coasters to this tray and make the set of your choice for 10 % off on coasters Size: 12in * 16in",70,70,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230227_115318.jpg?v=1677528233 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230227_115304.jpg?v=1677528233 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230227_115256.jpg?v=1677528234,|  |,"{""tags"":[""resin tray"",""serving tray"",""Trays"",""Traysets"",""wood"",""Wooden trays""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/green-wooden-serving-tray,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,d9cd764e6fa511c1
art-unleashed,resin,8221261889826,Apple Green Blue Shimmy resin Coasters,apple-green-blue-shimmy-resin-coasters,,,"Our Apple Green Blue Shimmy resin Coasters are the perfect addition for any occasion. Handcrafted from premium, durable resin, each coaster features unique artwork, glamorous detailing and can be customized for bridal or other special occasions. Ideal for home decor, these unique, functional pieces make a great gift. These green apple color coasters will make great companion for your happy hour. They come in multi-pattern sets. Each piece is curated with unique patterns . Perfect for gifting. Its a luxury gift for her or wedding or any special occasion. Resin products are light weight yet very functional gifts. These coasters are light but yet slightly heavier than some of the other coasters due to usage of Green glass pieces on the edges. Each piece is approx. 3.3 oz in weight. Dimensions: 5. 2"" diameter **** Each Product comes in a set of 2. Add additional units if you need more. ***** Made of Non toxic material PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak. Not dishwasher safe. Avoid cleaning products/chemicals Spot clean with gentle soap and water This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles.",25,25,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230410_175749.jpg?v=1681267287 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230410_170959.jpg?v=1681267287 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230410_175740.jpg?v=1681267288,|  |,"{""tags"":[""Coasters"",""gifts""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/apple-green-blue-shimmy-resin-coasters,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,3f5c5afb64c05c5d
art-unleashed,resin,8210876596514,Floral Ink Resin Coaster-Preorder,floral-ink-resin-coaster-preorder,,,"Our Beautiful resin Coasters are the perfect addition for any occasion. Handcrafted from premium, durable resin, each coaster features unique artwork, glamorous detailing and can be customized for bridal or other special occasions. Ideal for home decor, these unique, functional pieces make a great gift. These Floral Alcohol ink coasters in pink , red colors will make great companion for your happy hour. They come in multi-pattern sets. Each piece is curated with unique patterns . Super Light weight and easy to clean. Dimensions: 5. 2"" diameter **** Each Product comes in a set of 2. Add additional units if you need more. ***** Made of Non toxic material. This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles. PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak. Not dishwasher safe. Avoid cleaning products/chemicals Spot clean with gentle soap and water.",22,22,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230405_132545.jpg?v=1680733402 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230405_132609.jpg?v=1680733401 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230405_132537.jpg?v=1680733401,|  |,"{""tags"":[""Coasters""],""vendor"":""Art Unleashed"",""productType"":""""}",,,https://artunleashed.us/products/floral-ink-resin-coaster-preorder,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,15f4bbc28bd90a99
art-unleashed,resin,8192339575074,Peachy Pink Gold Resin Tray set,peachy-pink-gold-resin-tray-set,Tray Sets,,"Our Peachy Pink Gold Resin Tray Set is the perfect way to make a statement in your home. Handcrafted with the utmost attention to detail, these luxurious trays offer an elegant glam that is truly unique. Lightweight and food safe, they are perfect for special gifts or everyday use. Each set comes with beautiful packaging and custom options. Make an unforgettable impression with this inviting set. Beautiful Resin Tray comes with Gold Handles. Tray comes with matching set of 2 coasters or you can just buy the tray Circular Tray Size : 10 "" Rectangular Tray Size : 12 inch * 6.5 inch Round Coasters : 5.2 "" Square Coasters : 3.54 inch Made of Non toxic material PRODUCT CARE INSTRUCTIONS: Keep away from extreme heat and exposure to the sun. Do not scrub/soak Not dishwasher safe Avoid cleaning products/chemicals Spot clean with gentle soap and water This is a handmade product, and while we put our 100% into every design, there is a slight possibility of imperfections and micro-bubbles",15,55,INR,TRUE,,,,active,,https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230325_134613.jpg?v=1679894698 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230325_134600.jpg?v=1679894697 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230325_132905.jpg?v=1679894698 | https://cdn.shopify.com/s/files/1/0687/8871/5810/products/20230325_132821.jpg?v=1679894698,|  |  |,"{""tags"":[""sets"",""Trays"",""Traysets""],""vendor"":""Art Unleashed"",""productType"":""Tray Sets""}",,,https://artunleashed.us/products/peachy-pink-gold-resin-tray-set,2026-07-08T05:35:27.091Z,2026-07-08T05:35:27.091Z,237437d72a3b0b18
