sourceKey,vertical,externalId,title,slug,category,shortTagline,description,priceMin,priceMax,currency,showPrice,timeline,materials,dimensions,status,featured,images,imageAlts,fields,seoTitle,seoDescription,url,firstSeen,lastSeen,contentHash
kanha-kreation,resin,31927,Varmala Preservation Resin Clock – Custom Anniversary Keepsake,varmala-preservation-resin-clock-custom-anniversary-keepsake,Resin Art,,"Your wedding day flowers may fade… but the memories shouldn’t ð❤️ At Kanha Kreation, we transform your real varmala flowers into a beautiful resin clock keepsake, preserving your special moments forever. Designed with your photo, names, and wedding date, this piece becomes more than decor — it becomes a story you can relive every day ✨ Perfect for anniversaries, especially milestone celebrations like 25th or 50th ❤️",3499,3499,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2026/04/IMG_4942.jpg | https://kanhakreation.com/wp-content/uploads/2026/04/IMG_4943.jpg,"Today I worked on the website and completed the following tasks: Added 2 new blog posts with proper formatting and content optimization Uploaded and configured new products on the website Worked on the product page layout, including design improvements and content structuring These updates were aimed at improving user experience and enhancing the overall presentation of the website. Please let me know if any further changes are required. | Today I worked on the website and completed the following tasks: Added 2 new blog posts with proper formatting and content optimization Uploaded and configured new products on the website Worked on the product page layout, including design improvements and content structuring These updates were aimed at improving user experience and enhancing the overall presentation of the website. Please let me know if any further changes are required.","{""tags"":[],""attributes"":{},""categories"":[""Resin Art"",""Wedding Favors""]}",,,https://kanhakreation.com/product/varmala-preservation-resin-clock-custom-anniversary-keepsake/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,a7103110f41b2130
kanha-kreation,resin,29910,Smells Like Your Twenties Are Over soy candle,smells-like-your-twenties-are-over-soy-candle,,,"Smells Like Your Twenties Are Over soy candle, Funny 30th Birthday Gift For Women, Funny Birthday Candle, Sister Gifts, Gift For Friend",399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1117_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1117_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1117_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1117_2.jpg,Smells Like Your Twenties Are Over soy candle | Smells Like Your Twenties Are Over soy candle |  | Smells Like Your Twenties Are Over soy candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/smells-like-your-twenties-are-over-soy-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,6474d14ea8ba2616
kanha-kreation,resin,29915,Funny 30th Birthday Gift For Women,funny-30th-birthday-gift-for-women,,,"Funny 30th Birthday Gift For Women, Funny Birthday Candle, Sister Gifts, Funny 30 Birthday Gift For Friend, Thirty Birthday",399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1122_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1122_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1122_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1122_2.jpg,Funny 30th Birthday Gift For Women |  |  | Funny 30th Birthday Gift For Women,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/funny-30th-birthday-gift-for-women/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,97ccc0337aaa40ee
kanha-kreation,resin,29921,My Last Flying F*ck soy candle,my-last-flying-fck-soy-candle,,,"My Last Flying F*ck soy candle, funny friend gift, Halloween decor, skeleton candle, funny Halloween",399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1128_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1128_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1128_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1128_2.jpg,My Last Flying F*ck soy candle | My Last Flying F*ck soy candle |  | My Last Flying F*ck soy candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/my-last-flying-fck-soy-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,34d75a2f65fc99ba
kanha-kreation,resin,29926,Personalised Special Friend Birthday Candle,personalised-special-friend-birthday-candle,,,Personalised Minimalist Birthday Candle Birthday Candle Keepsake for Her Mum Sister Friend or Loved One 16th 18th 21st 30th 40th Birthday,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1139_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_3.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_4.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_5.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_6.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1139_7.jpg,Personalised Special Friend Birthday Candle | Personalised Special Friend Birthday Candle |  |  |  |  |  |  | Personalised Special Friend Birthday Candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/personalised-special-friend-birthday-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,e92f5ac59c91455e
kanha-kreation,resin,29936,Personalised Special Friend Birthday Candle,personalised-special-friend-birthday-candle-2,,,Happy 80th Birthday scented candle with lid Suitable ALL AGES Birthday gift for her 30th 40th 50th 60th 70th 90th Mum Colleague Friend,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1146_5.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1146_5.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1146_4.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1146_6.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1146_7.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1146_8.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1146_9.jpg,Personalised Special Friend Birthday Candle | Personalised Special Friend Birthday Candle |  |  |  |  | Personalised Special Friend Birthday Candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/personalised-special-friend-birthday-candle-2/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,116ff76900a43e79
kanha-kreation,resin,29945,"Promotion Gift, Smells Like A Promotion Candle",promotion-gift-smells-like-a-promotion-candle,,,Smells Like A Promotion Candle,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1158_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1158_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1158_3.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1158_4.jpg,Smells Like A Promotion Candle | Smells Like A Promotion Candle |  | Smells Like A Promotion Candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/promotion-gift-smells-like-a-promotion-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,57bb1bd12a087840
kanha-kreation,resin,29952,Light me when you&#8217;re in the mood candle,light-me-when-youre-in-the-mood-candle,,,Light me when you&#8217;re in the mood candle,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1206_0.jpg,Light me when you're in the mood candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/light-me-when-youre-in-the-mood-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,98ac86127a95846b
kanha-kreation,resin,29965,Adult Life Candle,adult-life-candle,,,Adult Life Candle,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1226_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1226_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1226_0-1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1226_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1226_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1226_3.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1226_4.jpg,|  |  |  |  |  |,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/adult-life-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,18cbdddd91e88036
kanha-kreation,resin,29973,20th Birthday Candle,20th-birthday-candle,,,"Smells Like You&#8217;re Not Teenager Anymore Candle, 20th Birthday Gift, Cute Birthday Gift, Milestone Birthday Gift, Joke Gift, Turning 20 Gift",399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/il_794xN.6442030554_hdru.webp | https://kanhakreation.com/wp-content/uploads/2025/08/il_794xN.6442030554_hdru.webp,20th Birthday Candle | 20th Birthday Candle,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/20th-birthday-candle/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,1eca064dbc927346
kanha-kreation,resin,29977,Secret Message Candles!,secret-message-candles,,,Secret Message Candles!,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1237_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1237_5.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1237_6.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1237_7.jpg,|  |  |,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/secret-message-candles/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,4cd442799ec20142
kanha-kreation,resin,29988,Moon Candle Pack of 2,moon-candle-pack-of-2,,,Moon Candle Pack of 2,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1242_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_3.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_4.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_5.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1242_6.jpg,Moon Candle Pack of 2 | Moon Candle Pack of 2 |  |  |  |  |  | Moon Candle Pack of 2,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/moon-candle-pack-of-2/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,16aee163cc00419a
kanha-kreation,resin,29998,Seaside Candle with Sand &#038; Seashells,seaside-candle-with-sand-seashells,,,XL Gel Candle with Ocean Rain Aroma & Real Sea Shells and Sand from Florida &#8211; Great Gift For Holidays &#8211; Handmade in USA Ship By Express Only,899,899,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1246_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_0.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_3.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_4.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_5.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1246_6.jpg,Seaside Candle with Sand & Seashells | Seaside Candle with Sand & Seashells |  |  |  |  |  | Seaside Candle with Sand & Seashells,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/seaside-candle-with-sand-seashells/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,21b0d0ee76a8bcc5
kanha-kreation,resin,30007,Secret Message Candles (Handwritten),secret-message-candles-handwritten,,,Secret Message Candles (Handwritten) | Handmade Soy Candles | Love & Funny Quotes | Hidden Message Candles | Thoughtful Christmas Gifts,899,899,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1305_0.jpg,Secret Message Candles (Handwritten),"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/secret-message-candles-handwritten/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,79646ca591677847
kanha-kreation,resin,30019,Botanical Soy Candle in Luxury Ribbed Glass Jar,botanical-soy-candle-in-luxury-ribbed-glass-jar,,,Botanical Soy Candle in Luxury Ribbed Glass Jar – Dried Flowers & Crystal Embeds – Handmade Gift for Her- Free Engraved Coaster,399,399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1310_0-1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1311_3.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1311_2.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1310_1-1.jpg | https://kanhakreation.com/wp-content/uploads/2025/08/1310_0-1.jpg,Botanical Soy Candle in Luxury Ribbed Glass Jar |  |  |  | Botanical Soy Candle in Luxury Ribbed Glass Jar,"{""tags"":[],""attributes"":{},""categories"":[]}",,,https://kanhakreation.com/product/botanical-soy-candle-in-luxury-ribbed-glass-jar/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,d39fb3d0a242ce83
kanha-kreation,resin,30454,gopal decorative design mor pankh dress,30454,Gift Hampers,,"Elegant office gift hamper with beautifully wrapped boxes and a heartfelt touch, perfect for employees, clients, and festive celebrations",2200,2200,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/heart-amidst-gift-boxes-scaled.jpg | https://kanhakreation.com/wp-content/uploads/2025/09/lily-flower-with-cute-wrapped-gift-scaled.jpg,gift hamper | gift,"{""tags"":[],""attributes"":{},""categories"":[""Gift Hampers""]}",,,https://kanhakreation.com/product/30454/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,a6a65fbe551a1935
kanha-kreation,resin,30460,Gopal mor Pankh Dress,gopal-decorative-design-mor-pankh-dress,Deity Dresses,,bal gopal decorative design mor pankh dress kanha original,999,999,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/7-size-0-bal-gopal-decorative-design-mor-pankh-dress-kanha-original-imahfeg5xtb8zhxb.webp | https://kanhakreation.com/wp-content/uploads/2025/09/7-size-0-bal-gopal-decorative-design-mor-pankh-dress-kanha-original-imahfeg5ychyfrkw.webp,Deity Dresses | Deity Dresses,"{""tags"":[],""attributes"":{},""categories"":[""Deity Dresses""]}",,,https://kanhakreation.com/product/gopal-decorative-design-mor-pankh-dress/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,64fbe55cec25e0fe
kanha-kreation,resin,30720,Resin Pooja Thali,resin-pooja-thali-8,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,899,899,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/Resin-Pooja-Thali.webp,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-8/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,48be4032b2510d7d
kanha-kreation,resin,30728,Wedding Favours magnet for guests,wedding-favours-magnet-for-guests,Diwali Resin Update,,"Wedding Favours magnet for guests, Epoxy magnet, Personalised fridge proposal, Baby shower favour.",299,299,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/il_794xN.7007299424_m5w8-1.webp,Wedding Favours magnet for guests,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Wedding Favors""]}",,,https://kanhakreation.com/product/wedding-favours-magnet-for-guests/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,d02112195ae6cd44
kanha-kreation,resin,30733,Resin Pooja Thali,resin-pooja-thali-9,Diwali Resin Update,,Resin Pooja Thali Resin Art customized Pooja Platter,899,899,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/08/1250_4.webp | https://kanhakreation.com/wp-content/uploads/2025/08/1250_4.webp | https://kanhakreation.com/wp-content/uploads/2025/08/1250_5.webp | https://kanhakreation.com/wp-content/uploads/2025/08/1250_3.webp | https://kanhakreation.com/wp-content/uploads/2025/08/1250_2.webp | https://kanhakreation.com/wp-content/uploads/2025/08/1250_1.webp | https://kanhakreation.com/wp-content/uploads/2025/08/1250_0.webp,pooja thali | pooja thali | tHALI |  |  |  | Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-9/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,3d379be5a7aafbb3
kanha-kreation,resin,30740,Resin Pooja Thali,resin-pooja-thali-10,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,799,799,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/il_794xN.5588629042_qopu.webp,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-10/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,f94632aaaf8da08b
kanha-kreation,resin,30742,Resin Pooja Thali,resin-pooja-thali-11,Diwali Resin Update,,,1299,1299,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/il_794xN.7024286774_djn1.webp,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-11/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,bb63acbe8ac9898e
kanha-kreation,resin,30745,Resin Pooja Thali,resin-pooja-thali-12,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,999,999,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/il_794xN.5442635621_rip1.webp,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-12/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,fdc76e0e52a44bfb
kanha-kreation,resin,30750,Resin Pooja Thali,resin-pooja-thali-13,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,999,999,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/resin-platter.jpeg,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-13/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,e05a996a39a321f6
kanha-kreation,resin,30754,Resin Pooja Thali,resin-pooja-thali-14,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,999,999,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/91RpPTJw0PL._UF350350_QL80_.jpg,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-14/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,ce418e7283f2812b
kanha-kreation,resin,30760,Resin Pooja Thali,resin-pooja-thali-copy,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,1399,1399,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/il_794xN.6595769086_mfur.webp,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-copy/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,e942405077b75b44
kanha-kreation,resin,30763,Resin Pooja Thali,resin-pooja-thali-15,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,1299,1299,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/Diy-Resin-Painting.jpeg,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-15/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,88ea69d3c5736c0f
kanha-kreation,resin,30770,Resin Pooja Thali,resin-pooja-thali-16,Diwali Resin Update,,Resin Pooja Thali Decorative Aarti Thali Pooja Platter for festivals,1799,1799,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/il_794xN.6717534415_3dhv.webp,Resin Pooja Thali,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Resin Art"",""Resin Pooja Thali""]}",,,https://kanhakreation.com/product/resin-pooja-thali-16/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,f9b70caf68a974ca
kanha-kreation,resin,30773,Original Flower Preservation Resin Tray,original-flower-preservation-resin-tray-2,Diwali Resin Update,,Original Flower Preservation Resin Tray,3999,3999,INR,TRUE,,,,active,,https://kanhakreation.com/wp-content/uploads/2025/09/Screenshot2025-02-13122553_1200x1200.webp,Original Flower Preservation Resin Tray,"{""tags"":[],""attributes"":{},""categories"":[""Diwali Resin Update"",""Preservation Resin Tray"",""Resin Art""]}",,,https://kanhakreation.com/product/original-flower-preservation-resin-tray-2/,2026-07-08T05:34:58.350Z,2026-07-08T05:34:58.350Z,7c7ed8207b9fe7bc
